Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,70.315627,-143.349876,90.000000,top
C2,100n,C_0402_1005Metric,73.805628,-149.349876,0.000000,top
C3,100n,C_0402_1005Metric,97.085627,-149.299875,180.000000,top
C4,100n,C_0402_1005Metric,70.325627,-141.409875,270.000000,top
C5,100n,C_0402_1005Metric,105.235628,-143.569878,0.000000,top
D1,LED,LED_0603_1608Metric,106.465629,-163.019875,0.000000,top
D2,Red,LED_0603_1608Metric,92.456000,-145.542000,90.000000,top
D3,Red,LED_0603_1608Metric,90.424000,-145.542000,90.000000,top
D4,Yellow,LED_0603_1608Metric,88.392000,-145.542000,90.000000,top
D5,Yellow,LED_0603_1608Metric,86.487000,-145.542000,90.000000,top
D6,Green,LED_0603_1608Metric,84.582000,-145.542000,90.000000,top
D7,Green,LED_0603_1608Metric,82.550000,-145.542000,90.000000,top
D8,Blue,LED_0603_1608Metric,80.518000,-145.542000,90.000000,top
D9,Blue,LED_0603_1608Metric,78.486000,-145.542000,90.000000,top
R1,4.7k,R_0402_1005Metric,98.980628,-138.019876,0.000000,top
R2,4.7k,R_0402_1005Metric,98.980627,-139.019876,0.000000,top
R3,4.7k,R_0402_1005Metric,102.950627,-163.019877,180.000000,top
R4,4.7k,R_0402_1005Metric,90.043000,-148.971000,270.000000,top
R5,4.7k,R_0402_1005Metric,88.773000,-148.971000,270.000000,top
R6,4.7k,R_0402_1005Metric,87.503000,-148.971000,270.000000,top
R7,4.7k,R_0402_1005Metric,86.233000,-148.971000,270.000000,top
R8,10k,R_0402_1005Metric,84.963000,-148.971000,270.000000,top
R9,10k,R_0402_1005Metric,83.693000,-148.971000,270.000000,top
R10,4.7k,R_0402_1005Metric,82.423000,-148.971000,270.000000,top
R11,4.7k,R_0402_1005Metric,81.153000,-148.971000,270.000000,top
U1,AT24CS32,SOIC-8_3.9x4.9mm_P1.27mm,105.465628,-140.019875,90.000000,top
U2,TXS0108EPW,TSSOP-20_4.4x6.5mm_P0.65mm,65.635627,-142.299877,180.000000,top
U3,MCP23S17_SO,SOIC-28W_7.5x17.9mm_P1.27mm,66.215628,-156.019877,0.000000,top
U4,MCP23S17_SO,SOIC-28W_7.5x17.9mm_P1.27mm,89.465628,-156.019875,0.000000,top
